,person_id,full_name,given_name,last_name,gender,graduate_degree,mfa_degree,role,prize_institution,prize_name,prize_year,prize_genre,prize_type,prize_amount,elite_1,elite_2,elite_3,award
2675,930.0,Isabella Borgeson,Isabella,Borgeson,female,0,no mfa,winner,Poetry Foundation,Ruth Lilly And Dorothy Sargent Rosenberg Poetry Fellowship,2020.0,poetry,career,25800.0,,,,1.0
2676,953.0,Jacqueline Woodson,Jacqueline,Woodson,female,0,no mfa,winner,MacArthur Foundation,MacArthur Fellowship,2020.0,no genre,career,625000.0,,,,1.0
2677,959.0,Jamaica Kincaid,Jamaica,Kincaid,female,0,no mfa,winner,Lannan Foundation,Lannan Award,1999.0,prose,career,150000.0,,,,1.0
2678,959.0,Jamaica Kincaid,Jamaica,Kincaid,female,0,no mfa,winner,American Academy of Arts and Letters,Morton Dauwen Zabel Award,1984.0,prose,career,10000.0,,,,1.0
2679,1014.0,Janice Galloway,Janice,Galloway,female,0,no mfa,winner,American Academy of Arts and Letters,E. M. Forster Award,1994.0,no genre,career,10000.0,,,,1.0
2680,1031.0,Jean Stafford,Jean,Stafford,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1945.0,no genre,career,10000.0,,,,1.0
2681,1051.0,Jennifer Nansubugamakumbi,Jennifer,Nansubugamakumbi,female,0,no mfa,winner,Yale University,Windham Campbell Prize,2018.0,prose,career,165000.0,,,,1.0
2682,1080.0,Joan Chase,Joan,Chase,female,0,no mfa,winner,Whiting Foundation,Whiting Award,1987.0,no genre,career,50000.0,,,,1.0
2683,1081.0,Joan Didion,Joan,Didion,female,0,no mfa,winner,American Academy of Arts and Letters,Morton Dauwen Zabel Award,1978.0,prose,career,10000.0,,,,1.0
2684,1086.0,Joan Williams,Joan,Williams,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1962.0,no genre,career,10000.0,,,,1.0
2685,1222.0,Josephine Herbst,Josephine,Herbst,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1966.0,no genre,career,10000.0,,,,1.0
2686,1224.0,Josephine Jacobsen,Josephine,Jacobsen,female,0,no mfa,winner,Academy of American Poets,Academy of American Poets Fellowship,1987.0,poetry,career,25000.0,,,,1.0
2687,1224.0,Josephine Jacobsen,Josephine,Jacobsen,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1982.0,no genre,career,10000.0,,,,1.0
2688,1224.0,Josephine Jacobsen,Josephine,Jacobsen,female,0,no mfa,winner,Library of Congress,Poet Laureate,1973.0,poetry,career,35000.0,,,,1.0
2689,1224.0,Josephine Jacobsen,Josephine,Jacobsen,female,0,no mfa,winner,Library of Congress,Poet Laureate,1972.0,poetry,career,35000.0,,,,1.0
2690,1224.0,Josephine Jacobsen,Josephine,Jacobsen,female,0,no mfa,winner,Library of Congress,Poet Laureate,1971.0,poetry,career,35000.0,,,,1.0
2691,1236.0,Judith Thurman,Judith,Thurman,female,0,no mfa,winner,American Academy of Arts and Letters,Harold D. Vursell Memorial Award,2004.0,prose,career,20000.0,,,,1.0
2692,1254.0,Karen Hesse,Karen,Hesse,female,0,no mfa,winner,MacArthur Foundation,MacArthur Fellowship,2002.0,no genre,career,500000.0,,,,1.0
2693,1258.0,Karen Tei Yamashita,Karen Tei,Yamashita,female,0,no mfa,winner,"United States Artists (Ford, Rockefeller, Rasmuson, and Prudential)",USA Fellowship,2011.0,no genre,career,50000.0,,,,1.0
